beta_0_init,k_init,lambda_init,f_1_init,f_2_init,dif,xi,beta_0_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,nlogll
10,2,1,0.3,0.4,0.2857142857142857,0,4.501324342436804,3.281541823398301e-5,3.7815760230301163,0.5673227619998339,0.7760211326266879,107.53917214083437
15,2,1,0.3,0.4,0.2857142857142857,0,4.327834447155775,2.99245819439468,2.9492354199433115,0.9940570336873533,0.7720220351245408,108.70584418648369
20,2,1,0.3,0.4,0.2857142857142857,0,30.201177096920574,3,1.7715585239423843,0.9999993735950907,0.30467194825968524,112.51268592660445
5,2.5,1,0.3,0.4,0.2857142857142857,0,4.092073384140674,0.47962915794321137,0.4485935439531437,1,0.8055501901598707,107.10894311991899
10,2.5,1,0.3,0.4,0.2857142857142857,0,4.304424237058928,2.455791522201123,2.5480948372030574,1,0.7753627610540612,108.66326674599372
15,2.5,1,0.3,0.4,0.2857142857142857,0,4.3253420993605385,3,2.924694360513108,1,0.7710008240030544,108.69876886548745
20,2.5,1,0.3,0.4,0.2857142857142857,0,4.095571719316544,0.43695501588574637,0.42305354023025343,0.9492408262328342,0.806313709306393,107.0571210605573
5,1,0.5,0.5,0.4,0.2857142857142857,0,4.136484563138778,0.31619005239705134,0.3386157445727792,0.8088060618179035,0.8090183672151237,106.9848953704712
10,1,0.5,0.5,0.4,0.2857142857142857,0,4.428225916702768,0.06886257029414981,0.18952558189923718,0.5941484361319033,0.7845072216138242,107.34487506655508
15,1,0.5,0.5,0.4,0.2857142857142857,0,4.091035896973718,0.4796710997634994,0.44840665381410727,0.9999988258304728,0.805586027223736,107.10893421381581
20,1,0.5,0.5,0.4,0.2857142857142857,0,4.5363255714027115,3,5.723113608294577,0.8932747361154365,0.7699673518361387,108.96493168509508
5,2,0.5,0.5,0.4,0.2857142857142857,0,4.030415342233274,0.5292541864953797,0.41792921743072886,1,1,108.01535494483687
10,2,0.5,0.5,0.4,0.2857142857142857,0,4.03079585681409,0.5274601199471249,0.4188212210642495,1,0.9915356295563484,107.9626478748656
15,2,0.5,0.5,0.4,0.2857142857142857,0,4.717245966860123,2.930466083337917,7,0.8597676826066424,0.7551512189334342,108.92865234550429
20,2,0.5,0.5,0.4,0.2857142857142857,0,4.0909940135062985,0.47978158725376563,0.4484867974648756,1,0.8057107540233157,107.1089483458869
5,2.5,0.5,0.5,0.4,0.2857142857142857,0,4.499117218867111,4.247220227807365e-5,1.3644980134269566,0.5678268014295821,0.7754284787746564,107.53922407605974
10,2.5,0.5,0.5,0.4,0.2857142857142857,0,4.0912620004779585,0.47990042146053613,0.4486294593433363,1,0.8055459620918533,107.10895413512347
15,2.5,0.5,0.5,0.4,0.2857142857142857,0,4.3245367080774475,3,2.925313620675036,0.9999973293484665,0.7710760711050259,108.69876840351526
20,2.5,0.5,0.5,0.4,0.2857142857142857,0,4.3212814112412445,2.915734719252276,2.838223288078636,1,0.7712149090271646,108.69353663935769
5,1,1,0.5,0.4,0.2857142857142857,0,4.091111010470257,0.47974956044322503,0.44847945553238056,1,0.8056452878342266,107.10895412157089
10,1,1,0.5,0.4,0.2857142857142857,0,4.091883384804336,0.4797801915781595,0.4486357661742436,1,0.8056224188906266,107.10895368534528
15,1,1,0.5,0.4,0.2857142857142857,0,4.31759095749771,2.7790598767160226,2.736703177156575,1,0.7708231323514487,108.68459186261721
20,1,1,0.5,0.4,0.2857142857142857,0,29.95456471697472,2.9999905758050303,1.7770069179634045,0.997271189205983,0.30599184948686886,112.51632423657246
5,2,1,0.5,0.4,0.2857142857142857,0,4.091956784240077,0.47983724082345847,0.44851372882957247,1,0.8056043432406741,107.10894437202059
10,2,1,0.5,0.4,0.2857142857142857,0,4.748635032871977,2.8213922446241906,7,0.8448871058501592,0.7506150892823809,108.90662457804363
15,2,1,0.5,0.4,0.2857142857142857,0,4.325461463805107,3,2.9223892189636027,0.9999981311928854,0.77087687051686,108.69877133067911
20,2,1,0.5,0.4,0.2857142857142857,0,4.65022328640109,2.9999223204777232,6.746427030212619,0.8563149080658812,0.7614274559712758,108.95633953217447
5,2.5,1,0.5,0.4,0.2857142857142857,0,4.043450702940358,0.4950007298491002,0.39590885957881194,0.9562374474494559,1,107.97468730176537
10,2.5,1,0.5,0.4,0.2857142857142857,0,4.325613957557161,3,2.9228657108633906,0.9999960098184646,0.7707429026802854,108.6987688349343
15,2.5,1,0.5,0.4,0.2857142857142857,0,4.369135705243734,3,3.3625870717632513,0.8840626672961953,0.7664565365558176,108.8861534022832
20,2.5,1,0.5,0.4,0.2857142857142857,0,29.933919945272123,2.990625612457889,1.7732475854944567,1,0.3063298862604049,112.51436383642502
5,1,0.5,0.7,0.4,0.2857142857142857,0,4.09163320501127,0.47958278165969725,0.4486123198955225,1,0.8055488523506535,107.1089423504482
10,1,0.5,0.7,0.4,0.2857142857142857,0,4.334615257904858,2.9959215566599506,3.1179212513122843,0.9667724601659677,0.7735523672946683,108.74334425383397
15,1,0.5,0.7,0.4,0.2857142857142857,0,4.325198892926015,2.9968002506002147,2.916091916404233,1,0.771091077228641,108.6985750614411
20,1,0.5,0.7,0.4,0.2857142857142857,0,4.325978309608238,3,2.9215232697129645,1,0.7710690522285208,108.69876457122687
5,2,0.5,0.7,0.4,0.2857142857142857,0,4.0304039949206025,0.5292555210514172,0.41792957057465957,1,1,108.01535494486279
