beta_0_init,xi_init,k_init,lambda_init,f_1_init,f_2_init,dif,beta_0_fit,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,rmse
10,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,5.253394596340824,0.025819612779276524,0.3296999527444925,0.2978689705690807,0.8816415386349465,0.7596155106329576,8.651515950650067
15,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,6.855389415323206,0.050875085915192186,0.4224242174109952,0.25143548942086646,0.9705808110259091,0.08185075163773814,9.184786875052518
20,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,10.772374740702048,0.0867891988271064,0.37653354968377145,0.142618799109423,0.8354839031013439,0.9943296129114089,8.212325530057514
5,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,1.9334692640809026,3.452785548138104e-4,0.03057531149303533,9.137859758565625e-4,0.9909790111517671,0.9988448775055421,47.5798774532895
10,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,4.3509259260237565,0.004621569850430163,2.962860873539502,6.945471158236404,0.9947919977268046,0.00902745610211847,19.88182538525811
15,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,6.336902008330842,0.041137361231719516,0.2916005723895691,0.2605718020830801,0.8391365806536512,0.7447273128252283,8.392410002014026
20,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,6.28748179814264,0.04220514471860265,0.3761343382044774,0.26585701622971813,0.9209705920625876,0.7553387824141996,7.671009130711956
5,0.057,1,1,0.3,0.4,0.2857142857142857,1.9228397228881677,2.157413333425673e-6,0.02875750951914885,6.782754473577679e-6,0.999991075801149,0.9999995822923371,47.56971060875715
10,0.057,1,1,0.3,0.4,0.2857142857142857,6.177941471625092,0.04132483899108702,0.39979404965181176,0.2825483137069654,0.9504535337409559,0.7696825276233976,7.728764226524088
15,0.057,1,1,0.3,0.4,0.2857142857142857,7.3312683894369535,0.05632675633785911,0.4202944273069568,0.238179710009486,0.9546593199047011,0.7836474419762195,7.527909033415899
20,0.057,1,1,0.3,0.4,0.2857142857142857,8.233068008017934,0.06578182596548238,0.41455987334977656,0.2073016446375857,0.9253025702292992,0.8085944119787206,7.424582030310447
5,0.025,1,1,0.3,0.4,0.2857142857142857,7.092245407111138,0.053572588208881666,0.42191639674055914,0.24713988234744239,0.9610462916571747,0.7831717529465918,7.565512259545778
10,0.025,1,1,0.3,0.4,0.2857142857142857,6.95366460635118,0.05214656974030635,0.42508770060597023,0.24999609248474763,0.972991144764924,0.012550846600888232,9.23597786736011
15,0.025,1,1,0.3,0.4,0.2857142857142857,5.698883261972865,0.033783348286652914,0.3644018704430769,0.2668189999015239,0.9136188362023359,0.7110158314811219,8.296705484084592
20,0.025,1,1,0.3,0.4,0.2857142857142857,4.150752955478474,2.984234689890064e-5,5.382793133074104e-5,6.999978835486603,0.5962699968157051,5.520731742147955e-6,18.156937282918236
5,0.1,1,1,0.3,0.4,0.2857142857142857,1.9226750007969873,6.543938660397153e-7,0.028719567780923938,1.0509910790545973e-6,0.9999961346580697,0.9999999743128831,47.569687809939005
10,0.1,1,1,0.3,0.4,0.2857142857142857,6.550295671563333,0.04661600904217261,0.4143269966493167,0.2677038472062398,0.9612059801371504,0.7785297656842374,7.633280761094016
15,0.1,1,1,0.3,0.4,0.2857142857142857,6.632218922231646,0.047793529684602654,0.41693861100982843,0.26692352468331826,0.9653674801890688,0.7626953820531079,7.642358047957616
20,0.1,1,1,0.3,0.4,0.2857142857142857,4.3766192966795225,0.005566730922101859,2.741208044925628,6.803574985142298,0.9916162852629656,0.008879183780886535,19.850704738332475
5,0.057,2,1,0.3,0.4,0.2857142857142857,1.9228065641881176,8.728514159228595e-7,0.028807197208398583,2.2440007778401494e-5,0.9999997706743374,0.9999949714404659,47.56968466341002
10,0.057,2,1,0.3,0.4,0.2857142857142857,8.437955211141833,0.06835075928943757,0.43447470137088534,0.2096905276540873,0.9479871132321165,0.825972983203519,7.630950454240321
15,0.057,2,1,0.3,0.4,0.2857142857142857,7.5905202535452005,0.059606219494297785,0.4361867395136448,0.23435897809537126,0.9691944746875691,0.7978784010412934,7.64180354751886
20,0.057,2,1,0.3,0.4,0.2857142857142857,9.012079401287117,0.07374841956788519,0.43410302350426627,0.19130424946507574,0.9331283559447663,0.9361494570131705,8.135576835216694
5,0.025,2,1,0.3,0.4,0.2857142857142857,6.983431466519638,0.05248353106652448,0.42899743430644177,0.253622128752752,0.972348743007394,0.7846803496427228,7.632118532430768
10,0.025,2,1,0.3,0.4,0.2857142857142857,6.575698980029601,0.04760602279021198,0.37465215079197106,0.2702822116058622,0.9628125248735582,0.7839667575012044,8.229323570827392
15,0.025,2,1,0.3,0.4,0.2857142857142857,6.824292171019208,0.05046541843202945,0.4210137672868646,0.25365751668586994,0.9708080319955065,0.017429038584867995,9.226201991495236
20,0.025,2,1,0.3,0.4,0.2857142857142857,4.157658712670589,1.79572724685384e-4,0.0012001399251713174,6.996740004636826,0.5945021920771388,0.7958845845484741,17.195286370573648
5,0.1,2,1,0.3,0.4,0.2857142857142857,2.9906374685749526,7.487055632693362e-7,0.762364873622473,0.3051236895718654,9.421596158798451e-8,0.9999998873300748,47.846022479663056
