beta_0_init,k_init,lambda_init,f_1_init,f_2_init,dif,xi,beta_0_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,rmse
10,2.5,1,0.3,0.4,0.2857142857142857,0,3.8255462177120925,0.4018155580200215,0.46796697091434103,0.9714557141161198,0.7894352424021911,11.321750935156436
15,2.5,1,0.3,0.4,0.2857142857142857,0,3.8437636341073933,0.3834753220205338,0.4580134435312385,0.9507745944484581,0.7881840078299658,11.296314884540296
20,2.5,1,0.3,0.4,0.2857142857142857,0,4.1463919595320835,0.0037441943068994843,6.991117523850784,0.5967656941867878,0.0010687470617801176,18.15737248045952
5,1,0.5,0.5,0.4,0.2857142857142857,0,3.8806314004123243,0.33480828281214225,0.41939874426324664,0.9004160163633439,0.771458449488174,11.312806086169854
10,1,0.5,0.5,0.4,0.2857142857142857,0,3.8987201546044847,0.3126359280706669,0.4076513106729947,0.87735627290293,0.7694930610851503,11.354771441985617
15,1,0.5,0.5,0.4,0.2857142857142857,0,3.841873352596159,0.38262258583637,0.45716919179582155,0.9502464464963951,0.7838124871545222,11.295962790661822
20,1,0.5,0.5,0.4,0.2857142857142857,0,4.148514585537737,0.1001055300317833,6.614181478592087,0.6073574197661091,0.7914225140823207,17.23625443407264
5,2,0.5,0.5,0.4,0.2857142857142857,0,3.860787556059373,0.36030504991918794,0.4428477791545933,0.9265172920438961,0.7823183716203712,11.28769306875507
10,2,0.5,0.5,0.4,0.2857142857142857,0,3.8512855166450777,0.37721026515048023,0.4539705661755862,0.9425069482704586,0.786574442298251,11.291262632299697
15,2,0.5,0.5,0.4,0.2857142857142857,0,3.8596474175616113,0.363646440226027,0.4448643430164415,0.9287661268843909,0.7867913338876553,11.28747168598574
20,2,0.5,0.5,0.4,0.2857142857142857,0,4.149735605860845,0.002526993108858344,6.996862434549961,0.5956110909686325,0.0010309393595620553,18.1567010167188
5,2.5,0.5,0.5,0.4,0.2857142857142857,0,3.870451891923954,0.34909765563896455,0.4361860566197726,0.9144537750898856,0.7837179784423411,11.292331281041823
