beta_0_init,f_1_init,f_2_init,xi_fit,k_fit,lambda_fit,dif,beta_0_fit,f_1_fit,f_2_fit,rmse
10,0.7,0.8,0,0,0,0.2857142857142857,9.054181310654123,0.9999499784581505,0.578608310082767,90.30914212992369
15,0.7,0.8,0,0,0,0.2857142857142857,39.999998225798464,0.9999995756342194,1.1463864246774591e-7,89.75730763759107
20,0.7,0.8,0,0,0,0.2857142857142857,39.999998225798564,0.9999995756342194,1.1463864246774591e-7,89.75730763756496
25,0.7,0.8,0,0,0,0.2857142857142857,39.99999822579867,0.9999995756342194,1.1463864246774591e-7,89.75730763756178
5,0.9,0.8,0,0,0,0.2857142857142857,4.147473169419092,0.5929239772125645,0.8715532651910165,17.421313713404047
10,0.9,0.8,0,0,0,0.2857142857142857,9.054400075747308,0.9999919373959987,0.5792129057233845,90.30902061987017
15,0.9,0.8,0,0,0,0.2857142857142857,39.99999832110629,0.9999995739185853,6.187247608702151e-8,89.75730758418436
20,0.9,0.8,0,0,0,0.2857142857142857,39.99999832110639,0.9999995739185853,6.187247608702151e-8,89.7573075841801
25,0.9,0.8,0,0,0,0.2857142857142857,39.999998321106474,0.9999995739185853,6.187247608702151e-8,89.75730758418632
5,0.3,1,0,0,0,0.2857142857142857,4.744184143899921,0.2936388285871405,1,43.4671385098515
10,0.3,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
15,0.3,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
20,0.3,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
25,0.3,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
5,0.5,1,0,0,0,0.2857142857142857,4.370259614101569,0.4738027362754631,1,24.877182181707887
10,0.5,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
15,0.5,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
20,0.5,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
25,0.5,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
5,0.7,1,0,0,0,0.2857142857142857,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.7,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
15,0.7,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
20,0.7,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
25,0.7,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
5,0.9,1,0,0,0,0.2857142857142857,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.9,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
15,0.9,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
20,0.9,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
25,0.9,1,0,0,0,0.2857142857142857,40,0.9999999999999989,1,90.70339863877894
5,0.3,0.4,0,0,0,0.7142857142857143,3.9161199646046008,0.5440574116953151,0.8253784424279604,14.68809060687246
10,0.3,0.4,0,0,0,0.7142857142857143,9.04923343118223,0.9999298598134808,0.9998900336224135,90.99618700880535
15,0.3,0.4,0,0,0,0.7142857142857143,39.999996653020744,0.999999305605346,2.1527039067992249e-7,89.75731038045154
20,0.3,0.4,0,0,0,0.7142857142857143,39.999999619153144,0.999999959432045,1.353416739791058e-8,89.75730510302476
25,0.3,0.4,0,0,0,0.7142857142857143,39.99999961915315,0.999999959432045,1.353416739791058e-8,89.75730510006525
5,0.5,0.4,0,0,0,0.7142857142857143,3.916875361022636,0.5437940716897698,0.8250665169619578,14.68818617107938
10,0.5,0.4,0,0,0,0.7142857142857143,9.054120674479657,0.9999965444258385,7.002846931059015e-6,90.463518007761
15,0.5,0.4,0,0,0,0.7142857142857143,39.99999715643177,0.9999993193175264,1.8374855997871364e-7,89.75731004922385
20,0.5,0.4,0,0,0,0.7142857142857143,39.999995521067746,0.9999988635443631,1.6506464634025164e-7,89.75731030701158
25,0.5,0.4,0,0,0,0.7142857142857143,39.99999768752679,0.9999994134659822,8.522145983347329e-8,89.75730991604298
5,0.7,0.4,0,0,0,0.7142857142857143,3.915729064985134,0.5441685783052013,0.8264504166369219,14.688038024654995
10,0.7,0.4,0,0,0,0.7142857142857143,9.053977384446739,0.9999784910733994,4.4085499834034536e-5,90.46357355838128
15,0.7,0.4,0,0,0,0.7142857142857143,39.9999975193345,0.999999406241471,1.60293210704765e-7,89.75730983911514
20,0.7,0.4,0,0,0,0.7142857142857143,39.99999754711367,0.9999993777124287,9.039620274542415e-8,89.75730987726998
25,0.7,0.4,0,0,0,0.7142857142857143,39.99999764992783,0.999999403797273,8.660730432819008e-8,89.7573098343676
