beta_0_init,xi_init,k_init,lambda_init,dif,f_1,f_2,beta_0_fit,xi_fit,k_fit,lambda_fit,rmse
5,0.025,2.5,0.5,0.2857142857142857,1,1,7.820406066370116,0.0629192572528195,0.4701311219883706,0.22590999045096205,9.16255759953442
10,0.025,2.5,0.5,0.2857142857142857,1,1,7.838448655036439,0.06311802546621398,0.4705860198894706,0.2254282646531534,9.162567447742022
15,0.025,2.5,0.5,0.2857142857142857,1,1,7.835293043732183,0.06307027003108923,0.4703915014156502,0.22545956446197984,9.162591124851497
20,0.025,2.5,0.5,0.2857142857142857,1,1,7.818086526056498,0.06290826257235294,0.47005847635380704,0.2258795401449682,9.162571578623732
5,0.1,2.5,0.5,0.2857142857142857,1,1,7.860934001749047,0.06337255034867456,0.47048228431090877,0.22484153397860046,9.16271403146739
10,0.1,2.5,0.5,0.2857142857142857,1,1,7.83268062481868,0.06305993536476573,0.47013477235010315,0.22559499508829134,9.162533360084796
15,0.1,2.5,0.5,0.2857142857142857,1,1,5.32074892915273,0.029789951380607582,0.42648598527466075,0.3405071553229853,10.046144124947652
20,0.1,2.5,0.5,0.2857142857142857,1,1,7.830045676741069,0.06302603653775862,0.4698473862876893,0.22566821550062194,9.16253793357159
5,0.057,1,1,0.2857142857142857,1,1,7.830170342819017,0.06303426896791331,0.46990310285494336,0.22553983803137873,9.162538473089604
10,0.057,1,1,0.2857142857142857,1,1,7.835365628483542,0.06307352059721572,0.47025051252221,0.22542924249758334,9.162563703247962
15,0.057,1,1,0.2857142857142857,1,1,7.8458589221045045,0.06320350895513266,0.4704120663551332,0.2251935812300107,9.162668151192907
20,0.057,1,1,0.2857142857142857,1,1,7.81713106190125,0.0628862113914278,0.46986031222141467,0.22589592188287416,9.16254962492719
5,0.025,1,1,0.2857142857142857,1,1,7.832603656314716,0.06305119635217998,0.470057899400596,0.22571417946228162,9.16254796741295
10,0.025,1,1,0.2857142857142857,1,1,7.783664863999746,0.06253360845858696,0.4688886575676598,0.22705268132981454,9.16292779573164
15,0.025,1,1,0.2857142857142857,1,1,7.834850405542331,0.0630834374521258,0.4703191292453769,0.22545520060313856,9.162536657495266
20,0.025,1,1,0.2857142857142857,1,1,4.080969873094295,5.269157441478711e-7,2.999999838320218,6.999999468246027,20.16992810033214
5,0.1,1,1,0.2857142857142857,1,1,1.9227272156923747,8.341721594584683e-7,0.0287799297350958,8.118339534846086e-6,47.56968607259894
10,0.1,1,1,0.2857142857142857,1,1,7.8317657388774204,0.0630490073642565,0.4701782127984471,0.2255561412422501,9.16253653144267
15,0.1,1,1,0.2857142857142857,1,1,7.813007576706196,0.06284621291664905,0.46954518993061595,0.2259272770461232,9.162596987796215
20,0.1,1,1,0.2857142857142857,1,1,7.834033858069171,0.06307876105109333,0.47029942114873874,0.2255872084867358,9.162543555766266
5,0.057,2,1,0.2857142857142857,1,1,7.83186435253122,0.06303952962397469,0.4698921075627005,0.2252424846171892,9.162627870976907
10,0.057,2,1,0.2857142857142857,1,1,7.834935381954127,0.06309467140750541,0.47039840684561524,0.2254284315322871,9.162550043543256
15,0.057,2,1,0.2857142857142857,1,1,4.08058673469429,4.4121375664119e-8,2.999999809750817,6.999999537564769,20.16991760173168
20,0.057,2,1,0.2857142857142857,1,1,7.836088468671298,0.06308820773658114,0.47032451100284706,0.22537705740220382,9.1625406995621
5,0.025,2,1,0.2857142857142857,1,1,7.828885515523714,0.0630202358155999,0.47005716209178233,0.22563873677990637,9.162539489940682
10,0.025,2,1,0.2857142857142857,1,1,7.835326375773617,0.06310115856209275,0.47062125872764354,0.22535289806791137,9.162605728355384
15,0.025,2,1,0.2857142857142857,1,1,7.834093870428269,0.06307005475836192,0.4702359886599886,0.2254582245510337,9.162537977226872
20,0.025,2,1,0.2857142857142857,1,1,8.130721742551685,0.0663634429745823,0.47427468358645586,0.2180693476176831,9.168597957800538
5,0.1,2,1,0.2857142857142857,1,1,5.4472635706860695,0.031195094379071087,0.43986186663131144,0.3246593942171776,9.914275131142578
10,0.1,2,1,0.2857142857142857,1,1,7.832317201832968,0.06305678525923397,0.4700774993107529,0.2254480938736414,9.162535043509271
