beta_0_init,f_1_init,f_2_init,dif,k,lambda_,xi_fit,f_1_fit,f_2_fit,beta_0_fit,nlogll
25,0.7,0.4,0.2857142857142857,0,0,0,1,0.17222565698045544,40,121.34296125225183
30,0.7,0.4,0.2857142857142857,0,0,0,0.9996958148188876,0.1721411198945079,39.94985710100573,121.3436684610014
35,0.7,0.4,0.2857142857142857,0,0,0,1,0.17220257420080978,39.998609555398865,121.3429691269054
5,0.9,0.4,0.2857142857142857,0,0,0,0.7650941705825263,0.5568275968909329,4.2981419475647815,112.38969872770012
10,0.9,0.4,0.2857142857142857,0,0,0,1,0.46764771554819917,5.21275676600556,115.02383456332669
15,0.9,0.4,0.2857142857142857,0,0,0,0.9999335804076621,0.17212207403831417,40,121.34302696750413
20,0.9,0.4,0.2857142857142857,0,0,0,1,0.17221729490754484,40,121.34296123956344
25,0.9,0.4,0.2857142857142857,0,0,0,1,0.17220217926248577,39.99976084992481,121.34296030870935
30,0.9,0.4,0.2857142857142857,0,0,0,1,0.17222198363231556,39.99982481472395,121.3429596838914
35,0.9,0.4,0.2857142857142857,0,0,0,0.9996516098519888,0.17189878477155446,39.99346656316328,121.34346706526978
5,0.3,0.6,0.2857142857142857,0,0,0,0.7650600844194038,0.5567593898580054,4.298652845586906,112.38969163724724
10,0.3,0.6,0.2857142857142857,0,0,0,1,0.4678496992942878,5.213653782782749,115.02379703599337
15,0.3,0.6,0.2857142857142857,0,0,0,1,0.17222611873973437,40,121.34296125872007
20,0.3,0.6,0.2857142857142857,0,0,0,1,0.1722176466467122,40,121.3429612361082
25,0.3,0.6,0.2857142857142857,0,0,0,1,0.17221979675604263,40,121.34296122259184
30,0.3,0.6,0.2857142857142857,0,0,0,1,0.17221675184782004,40,121.34296124559899
35,0.3,0.6,0.2857142857142857,0,0,0,1,0.17205887148219726,39.98644074136014,121.34312192304493
5,0.5,0.6,0.2857142857142857,0,0,0,0.7651205276665375,0.5571427311493719,4.297568621653798,112.38974297014522
10,0.5,0.6,0.2857142857142857,0,0,0,0.7649497223148491,0.5564729423435573,4.2995606382791,112.3896903280231
15,0.5,0.6,0.2857142857142857,0,0,0,1,0.1722197363700912,40,121.34296122279443
20,0.5,0.6,0.2857142857142857,0,0,0,1,0.17223506610698364,39.999791594462465,121.34295963274351
25,0.5,0.6,0.2857142857142857,0,0,0,1,0.17222424122568508,40,121.34296123616937
30,0.5,0.6,0.2857142857142857,0,0,0,1,0.17222606116017766,39.998115230609,121.34297271089679
35,0.5,0.6,0.2857142857142857,0,0,0,1,0.17221706215841057,39.99983363090705,121.34295903296912
5,0.7,0.6,0.2857142857142857,0,0,0,0.7652033727198786,0.5566240551675877,4.298305873889721,112.38970242479058
10,0.7,0.6,0.2857142857142857,0,0,0,0.7648032627747688,0.5568974384932869,4.2969791782634505,112.38969635251328
