beta_0_init,xi_init,f_1_init,f_2_init,dif,k,lambda_,beta_0_fit,xi_fit,f_1_fit,f_2_fit,nlogll
5,0.1,0.7,0.4,0.2857142857142857,0,0,4.297814798505868,0,0.7650859668792833,0.5568687880849448,112.38970613045316
10,0.1,0.7,0.4,0.2857142857142857,0,0,6.093397982039663,0.039966259213523606,0.9989643369180363,0.49913914083707006,112.52645181716396
15,0.1,0.7,0.4,0.2857142857142857,0,0,6.098972205835098,0.0399361141727238,0.9994037466090001,0.49832496782158797,112.52693958635257
20,0.1,0.7,0.4,0.2857142857142857,0,0,6.101550968077451,0.040026398616218095,1,0.4984471225697352,112.52769066906626
5,0.057,0.9,0.4,0.2857142857142857,0,0,4.299716741641399,0,0.7649013306727974,0.5566072510711277,112.38970051661174
10,0.057,0.9,0.4,0.2857142857142857,0,0,5.874800869595282,0.035969857574160685,0.9669710782549704,0.5041351291724308,112.48862841257476
15,0.057,0.9,0.4,0.2857142857142857,0,0,6.100524874410629,0.03996480779810273,0.999753114204305,0.49826941012769976,112.52740574849044
20,0.057,0.9,0.4,0.2857142857142857,0,0,4.298117226527902,0,0.765004669617631,0.5566319597692708,112.38972157728597
5,0.025,0.9,0.4,0.2857142857142857,0,0,4.298169980706149,0,0.7646904757566985,0.5568494751828739,112.38969310675945
10,0.025,0.9,0.4,0.2857142857142857,0,0,6.066014076191277,0.03935664921340078,0.9944669468613739,0.4991145780018127,112.5206896118016
15,0.025,0.9,0.4,0.2857142857142857,0,0,5.2067778328076235,0.02268261304291462,0.8786611810768922,0.5263597835648058,112.42824482211587
20,0.025,0.9,0.4,0.2857142857142857,0,0,6.100964736024503,0.0400081560293183,1,0.4982909790432223,112.5276521908321
5,0.1,0.9,0.4,0.2857142857142857,0,0,4.742303073444702,0.011624828513802976,0.8226995476582624,0.541824083898049,112.41681295895039
10,0.1,0.9,0.4,0.2857142857142857,0,0,6.105222258162433,0.03999168849501636,1,0.49793010667044396,112.52770423902992
15,0.1,0.9,0.4,0.2857142857142857,0,0,6.104304038791309,0.040030683293801966,0.9998466013193317,0.4983870637293387,112.52753389704974
20,0.1,0.9,0.4,0.2857142857142857,0,0,6.102122561655156,0.03992790925636466,1,0.49794046696634475,112.52774395657916
5,0.057,0.3,0.6,0.2857142857142857,0,0,4.3010284669244,0,0.7648764564997323,0.5561524745352076,112.38972209263086
10,0.057,0.3,0.6,0.2857142857142857,0,0,10.088386120682877,0.07612424147725722,0.25118847000768096,0.4891586917078588,116.74696100193704
15,0.057,0.3,0.6,0.2857142857142857,0,0,15.23849171115286,0.1094627797164762,0.2083919602652365,0.41962183267776865,117.25034402363997
20,0.057,0.3,0.6,0.2857142857142857,0,0,20.10356629339315,0.13160092016935182,0.1904812827690297,0.4128653710035654,117.69198327183224
5,0.025,0.3,0.6,0.2857142857142857,0,0,4.2982436164341165,0,0.7649129517530221,0.5565621316504052,112.38966694672904
10,0.025,0.3,0.6,0.2857142857142857,0,0,10.046452450967905,0.07576242403838164,0.2514665462569101,0.49071424433020955,116.7518635030995
15,0.025,0.3,0.6,0.2857142857142857,0,0,14.973664677013684,0.10805809221565468,0.20920383869753695,0.42028978664112715,117.2121183490393
20,0.025,0.3,0.6,0.2857142857142857,0,0,6.09969007597209,0.040045939717687426,0.9992953864729914,0.4985728532098255,112.52681505711647
5,0.1,0.3,0.6,0.2857142857142857,0,0,4.298236212787164,0,0.7648361315792178,0.5566887285975228,112.38969302035952
10,0.1,0.3,0.6,0.2857142857142857,0,0,6.105548819319236,0.040040312898200106,1,0.4983052394688226,112.52773844646791
15,0.1,0.3,0.6,0.2857142857142857,0,0,10.881165325983227,0.08247123398091936,0.24128354927507945,0.4672505384840286,116.7033002145211
20,0.1,0.3,0.6,0.2857142857142857,0,0,6.096873913323279,0.039929228404847764,0.999606143312959,0.49866700598702973,112.52720379378682
5,0.057,0.5,0.6,0.2857142857142857,0,0,4.296972887826135,0,0.7649509949343256,0.5568508072242389,112.38971300840801
10,0.057,0.5,0.6,0.2857142857142857,0,0,6.101650799052832,0.04002471471412912,1,0.4983964473054423,112.5276508642429
15,0.057,0.5,0.6,0.2857142857142857,0,0,4.955837617940956,0.016868145753385806,0.8493319371612331,0.5347200876938651,112.42156966112822
20,0.057,0.5,0.6,0.2857142857142857,0,0,6.102595879353852,0.04005708900444868,1,0.4982191731071024,112.52769047373903
5,0.025,0.5,0.6,0.2857142857142857,0,0,4.2981071353449085,0,0.7648804591770577,0.5568136382525151,112.3896539762535
10,0.025,0.5,0.6,0.2857142857142857,0,0,6.100224025505719,0.039968964979404345,1,0.49814091169756025,112.52770077911752
15,0.025,0.5,0.6,0.2857142857142857,0,0,6.099382791428092,0.0398456754403007,1,0.498292766406193,112.52773176718395
20,0.025,0.5,0.6,0.2857142857142857,0,0,5.89394313704239,0.036347903759179546,0.9691702737408169,0.5032383366249678,112.4910956521506
5,0.1,0.5,0.6,0.2857142857142857,0,0,4.297115533261041,0,0.7649284497299751,0.5570214486284869,112.38972073986952
10,0.1,0.5,0.6,0.2857142857142857,0,0,5.795885097212824,0.03448514895979986,0.9560424948244679,0.5060543875360846,112.47749601719094
15,0.1,0.5,0.6,0.2857142857142857,0,0,6.100790449303311,0.0400020441139175,1,0.49807269582072117,112.52767387809897
20,0.1,0.5,0.6,0.2857142857142857,0,0,4.299543472681703,8.45690236452367e-6,0.7647005916441993,0.5566065256957019,112.389739107288
5,0.057,0.7,0.6,0.2857142857142857,0,0,4.881847236222198,0.014983676083623589,0.8390409208416674,0.5368967286501748,112.41992755689422
