beta_0_init,xi_init,k_init,lambda_init,f_1_init,f_2_init,dif,beta_0_fit,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,nlogll
5,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,4.167928867726978,0.015592756958622982,0.5746313456066474,0.2611263914780165,1,0.7344339146114768,106.99671065793825
10,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,3.8207584831478707,0.006425556146537725,0.47501319965378563,0.22209207118631136,0.8545132710857434,0.7486492043083204,107.09488420199435
15,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,18.494735778976924,0.1402465744355485,0.5213270325059376,0.13241516509975632,1,0.8090273948029076,108.35291259839448
20,0.1,2.5,0.5,0.3,0.4,0.2857142857142857,20.373774442124443,0.14606390579013623,1.4207419341889378,0.36773588297780824,1,0.4150040796591969,110.42968386101909
5,0.057,1,1,0.3,0.4,0.2857142857142857,3.4762036688090907,0,0.5629393674802359,0.29411584946167724,0.9995594532073866,0.7303914970131768,106.98419640896562
10,0.057,1,1,0.3,0.4,0.2857142857142857,11.299153051884502,0.09511527440313397,0.4518359490415159,0.08510566544734227,0.7154508654517806,0.9115899023512168,106.86277053565234
15,0.057,1,1,0.3,0.4,0.2857142857142857,16.691763477139855,0.13216637972536407,0.5521328005668866,0.1355482332206547,0.9920351372237604,0.8192332494268038,108.1680002488669
20,0.057,1,1,0.3,0.4,0.2857142857142857,20.539877688527884,0.14465342541368137,0.4545146575567627,0.06283931422310957,0.699309360814791,0.9996543451589956,106.8306144549132
5,0.025,1,1,0.3,0.4,0.2857142857142857,4.28178917400005,0.018054275498170264,0.5832443253963308,0.2571907008133854,0.9999051131662251,0.7376053525503958,107.00346719795125
10,0.025,1,1,0.3,0.4,0.2857142857142857,3.542474872518855,4.0633157003312976e-4,0.4935583549155509,0.25013149431249626,0.8902369279170854,0.7396872554439768,107.07384625548434
15,0.025,1,1,0.3,0.4,0.2857142857142857,15.830830849734593,0.12264440188495339,0.4592206387538913,0.07011314685096531,0.7001320774380297,0.9741378400980338,106.81202319822317
20,0.025,1,1,0.3,0.4,0.2857142857142857,15.552763022910629,0.12118537013082559,0.4573912095752459,0.06824101399791756,0.69328258190785,0.9888494667841925,106.81540402179382
5,0.1,1,1,0.3,0.4,0.2857142857142857,5.757337691696495,0.043105672513386734,0.5856550697434451,0.21687897023430908,0.9970130456283043,0.745975537923687,107.12059075068476
10,0.1,1,1,0.3,0.4,0.2857142857142857,8.312827501300893,0.07042133675435969,0.46374844553338535,0.11094943059048902,0.7512061604691038,0.8528681380610065,106.94125518512189
15,0.1,1,1,0.3,0.4,0.2857142857142857,16.017163680277175,0.12348185254875932,0.45317448137369387,0.06773961996261717,0.6954277444713306,0.983911922258896,106.80928024286848
20,0.1,1,1,0.3,0.4,0.2857142857142857,19.539578790265782,0.14024558149125027,0.45526342306167344,0.06349441495140948,0.6978257270035224,0.9998721512352124,106.81570449323718
5,0.057,2,1,0.3,0.4,0.2857142857142857,3.5308946518986315,0,0.4549178752459158,0.22428263873576007,0.8254974872659634,0.7477797768203882,107.1650873477265
10,0.057,2,1,0.3,0.4,0.2857142857142857,6.039434669072643,0.045332164120660004,0.5068379074266328,0.16417450306971515,0.8420645583761893,0.7908999487977662,107.02150110522938
15,0.057,2,1,0.3,0.4,0.2857142857142857,14.187370471224412,0.11845434235759536,0.5442240155647782,0.14546303651329823,1,0.7944234986279561,107.98988674372929
20,0.057,2,1,0.3,0.4,0.2857142857142857,14.788355390092523,0.12194314493209775,0.5419790470740184,0.14293471035104416,1,0.7992104299275371,108.04459085649468
5,0.025,2,1,0.3,0.4,0.2857142857142857,5.080187197037427,0.03253349117938026,0.5840845601921714,0.23239475337989673,0.9975102315743252,0.7390078030691194,107.05984666786138
10,0.025,2,1,0.3,0.4,0.2857142857142857,3.7240678789278983,0.005929577411396807,0.5645263764916254,0.2780422678935358,0.9916414461342589,0.732421086729829,106.9863993750847
15,0.025,2,1,0.3,0.4,0.2857142857142857,16.187307456085584,0.12939408816292025,0.5355443755699696,0.13847866550939247,0.9991851063960198,0.8037161019134248,108.16120365399297
