beta_0_init,xi_init,f_1_init,f_2_init,dif,k,lambda_,beta_0_fit,xi_fit,f_1_fit,f_2_fit,rmse
5,0.025,0.7,0.6,0.7142857142857143,0,0,3.760759020383635,5.75605589930861e-6,0.4515695961778329,0.9999883207014832,79.97584449109632
10,0.025,0.7,0.6,0.7142857142857143,0,0,1.7432262069777749,5.032563753504249e-7,0.9999998239992258,3.1003704692444956e-7,47.98860869433262
15,0.025,0.7,0.6,0.7142857142857143,0,0,39.99996932723272,0.11249757305735636,0.9999999388288437,1.9432795483886878e-8,254.43452287255283
20,0.025,0.7,0.6,0.7142857142857143,0,0,39.99999990392921,3.031588369228899e-9,0.9999999867560808,4.5758386968408615e-8,247.19757428296705
5,0.1,0.7,0.6,0.7142857142857143,0,0,1.7431667941959916,1.2722733250258855e-7,0.9999999488526503,3.638631856928143e-8,47.98857382649804
10,0.1,0.7,0.6,0.7142857142857143,0,0,3.761326424794007,3.132894350221793e-6,0.4510843559613903,0.9999997149524493,79.9740251298903
15,0.1,0.7,0.6,0.7142857142857143,0,0,3.7612944288010786,5.940641331969587e-6,0.4506885615206203,0.9999981628127241,79.97601676385361
20,0.1,0.7,0.6,0.7142857142857143,0,0,3.7610600755233303,4.797437688497386e-6,0.45114033485130467,1.8219436876965034e-6,80.04569077924317
5,0.057,0.3,1,0.7142857142857143,0,0,5,0.9999999999999998,0.3,1,52.531738978213355
10,0.057,0.3,1,0.7142857142857143,0,0,10,0.9999999999999998,0.3,1,52.531738805931475
15,0.057,0.3,1,0.7142857142857143,0,0,15,0.9999999999999998,0.3,1,52.53173863153959
20,0.057,0.3,1,0.7142857142857143,0,0,20,0.9999999999999998,0.3,1,52.53173843787547
5,0.025,0.3,1,0.7142857142857143,0,0,5,0.9999999999999998,0.3,1,52.531738978213355
10,0.025,0.3,1,0.7142857142857143,0,0,39.999999999999986,0.9999999999999997,1.6653345369377348e-16,1,52.5317379747982
15,0.025,0.3,1,0.7142857142857143,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
20,0.025,0.3,1,0.7142857142857143,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
5,0.1,0.3,1,0.7142857142857143,0,0,5,0.9999999999999998,0.3,1,52.531738978213355
10,0.1,0.3,1,0.7142857142857143,0,0,10,0.9999999999999998,0.3,1,52.531738805931475
15,0.1,0.3,1,0.7142857142857143,0,0,15,0.9999999999999998,0.3,1,52.53173863153959
20,0.1,0.3,1,0.7142857142857143,0,0,20,0.9999999999999998,0.3,1,52.53173843787547
5,0.057,0.7,1,0.7142857142857143,0,0,5,0.9999999999999998,0.7,1,52.53173891158151
10,0.057,0.7,1,0.7142857142857143,0,0,10,0.9999999999999998,0.7,1,52.53173867635316
15,0.057,0.7,1,0.7142857142857143,0,0,15,0.9999999999999998,0.7,1,52.531738440098216
20,0.057,0.7,1,0.7142857142857143,0,0,20,0.9999999999999998,0.7,1,52.53173819796772
5,0.025,0.7,1,0.7142857142857143,0,0,5,0.9999999999999998,0.7,1,52.53173891158151
10,0.025,0.7,1,0.7142857142857143,0,0,39.999999999999986,0.9999999999999997,1.6653345369377348e-16,1,52.5317379747982
15,0.025,0.7,1,0.7142857142857143,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
20,0.025,0.7,1,0.7142857142857143,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
5,0.1,0.7,1,0.7142857142857143,0,0,5,0.9999999999999998,0.7,1,52.53173891158151
10,0.1,0.7,1,0.7142857142857143,0,0,10,0.9999999999999998,0.7,1,52.53173867635316
15,0.1,0.7,1,0.7142857142857143,0,0,15,0.9999999999999998,0.7,1,52.531738440098216
20,0.1,0.7,1,0.7142857142857143,0,0,20,0.9999999999999998,0.7,1,52.53173819796772
5,0.057,0.3,0.6,1,0,0,3.6820895512264262,8.75713686931956e-6,0.446131235837745,2.1641406189487622e-5,75.15194388810407
10,0.057,0.3,0.6,1,0,0,3.6766010487288625,1.2327102831832804e-6,0.4488297168807431,1.7161171445012613e-6,75.1455116620965
15,0.057,0.3,0.6,1,0,0,39.99969660547012,0.11250176165952086,4.267494417953266e-6,0.9999792923281887,254.92882267885662
20,0.057,0.3,0.6,1,0,0,39.999915906794584,0.11250741998951597,8.723845442704103e-7,9.249452889159571e-7,254.60761608758088
5,0.025,0.3,0.6,1,0,0,3.6771539658300934,5.531892388166426e-6,0.4481380497180608,0.9999975771086104,75.04848218188404
10,0.025,0.3,0.6,1,0,0,3.678120922999575,9.05152965485767e-6,0.44805503099026767,0.9999975443073521,75.05102375373724
15,0.025,0.3,0.6,1,0,0,39.99979412490106,0.11249924570390063,0.9999999199841183,3.107204554764209e-8,254.43454500163895
20,0.025,0.3,0.6,1,0,0,39.99999990392921,3.031588369228899e-9,0.99999998675608,4.5758386968408615e-8,247.1975741788665
5,0.1,0.3,0.6,1,0,0,1.7432324656322407,1.1039222050368558e-6,0.9999999335999141,4.282627508178649e-8,47.988639001179536
10,0.1,0.3,0.6,1,0,0,3.6761333343513636,3.159591228035774e-5,0.449151831452436,0.9999806057963557,75.06847396291766
15,0.1,0.3,0.6,1,0,0,3.6784434586426196,2.1638165020876343e-6,0.4478296457884861,9.672777872560268e-7,75.14555925586964
20,0.1,0.3,0.6,1,0,0,3.6797738135711744,2.5699315384652976e-6,0.44688991643688414,4.2627498872960246e-6,75.14661681700801
5,0.057,0.7,0.6,1,0,0,3.67880688748929,4.023517425566503e-6,0.44838141734434334,0.9999955518993162,75.04748025294732
10,0.057,0.7,0.6,1,0,0,3.677829383857676,7.800961904058656e-6,0.44786492847407045,4.8695990039759884e-6,75.15017358736364
15,0.057,0.7,0.6,1,0,0,39.99991555546563,0.11249923324907896,0.9999983972022408,1.188629441206679e-6,254.4345253248339
20,0.057,0.7,0.6,1,0,0,39.99994259504779,0.11250738156328233,5.980929700388771e-7,6.340603857513116e-7,254.6076127693903
5,0.025,0.7,0.6,1,0,0,3.679328394274839,3.874870841247269e-6,0.4473291023194884,0.9999758784404245,75.0472307379198
10,0.025,0.7,0.6,1,0,0,1.7431485246970424,8.719148960056877e-7,0.9999996091061356,7.780483703423435e-7,47.98862601063432
15,0.025,0.7,0.6,1,0,0,38.46041029645199,0.10950961926219333,0.8842816470878218,0.0032098280879772623,254.6537400940324
20,0.025,0.7,0.6,1,0,0,39.99999990392921,3.031588369228899e-9,0.9999999867560808,4.5758386968408615e-8,247.19757417888957
5,0.1,0.7,0.6,1,0,0,1.7430782291890257,1.0176558970509397e-6,0.9999998334903227,7.492094095118418e-8,47.98862989968517
10,0.1,0.7,0.6,1,0,0,3.680285327486865,5.606937410085333e-6,0.44714981586884905,0.9999973368518269,75.04846519660268
15,0.1,0.7,0.6,1,0,0,3.678083005528021,3.69293757512823e-6,0.44788345092605325,8.293587986929474e-7,75.14684051700371
20,0.1,0.7,0.6,1,0,0,3.676899112847556,4.51128259321143e-6,0.4489748130311715,0.9999939862437188,75.04758860496486
5,0.057,0.3,1,1,0,0,5,0.9999999999999998,0.3,1,52.53173897240437
10,0.057,0.3,1,1,0,0,10,0.9999999999999998,0.3,1,52.531738793737944
15,0.057,0.3,1,1,0,0,15,0.9999999999999998,0.3,1,52.53173861606254
20,0.057,0.3,1,1,0,0,20,0.9999999999999998,0.3,1,52.531738430551826
5,0.025,0.3,1,1,0,0,5,0.9999999999999998,0.3,1,52.53173897240437
10,0.025,0.3,1,1,0,0,39.999999999999986,0.9999999999999997,1.6653345369377348e-16,1,52.53173791308566
15,0.025,0.3,1,1,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
20,0.025,0.3,1,1,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
5,0.1,0.3,1,1,0,0,5,0.9999999999999998,0.3,1,52.53173897240437
10,0.1,0.3,1,1,0,0,10,0.9999999999999998,0.3,1,52.531738793737944
15,0.1,0.3,1,1,0,0,15,0.9999999999999998,0.3,1,52.53173861606254
20,0.1,0.3,1,1,0,0,20,0.9999999999999998,0.3,1,52.531738430551826
5,0.057,0.7,1,1,0,0,5,0.9999999999999998,0.7,1,52.531738908306195
10,0.057,0.7,1,1,0,0,10,0.9999999999999998,0.7,1,52.53173867138477
15,0.057,0.7,1,1,0,0,15,0.9999999999999998,0.7,1,52.53173842970203
20,0.057,0.7,1,1,0,0,20,0.9999999999999998,0.7,1,52.531738187617265
5,0.025,0.7,1,1,0,0,5,0.9999999999999998,0.7,1,52.531738908306195
10,0.025,0.7,1,1,0,0,39.999999999999986,0.9999999999999997,1.6653345369377348e-16,1,52.53173791308566
15,0.025,0.7,1,1,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
20,0.025,0.7,1,1,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
5,0.1,0.7,1,1,0,0,5,0.9999999999999998,0.7,1,52.531738908306195
10,0.1,0.7,1,1,0,0,10,0.9999999999999998,0.7,1,52.53173867138477
15,0.1,0.7,1,1,0,0,15,0.9999999999999998,0.7,1,52.53173842970203
20,0.1,0.7,1,1,0,0,20,0.9999999999999998,0.7,1,52.531738187617265
